@relation 'D-Paraguay'

@attribute NEtapa {1,2,3}
@attribute P01 {Satisfactorio,Insipiente,Ninguno}
@attribute P02 {Satisfactorio,Insipiente,Ninguno}
@attribute P03 {Mucho,Poco}
@attribute P04 {Regular,Suficiente,Insipiente}
@attribute P05 {Suficiente,Insipiente,Regular}
@attribute P06 {Suficiente,Insipiente,Regular}
@attribute P07 {Insipiente,Satisfactorio,Ninguno}
@attribute P08 {Mucho,Poco,Nada}
@attribute P09 numeric
@attribute P10 numeric
@attribute P11 numeric
@attribute P12 numeric
@attribute P13 numeric
@attribute P14 numeric
@attribute P15 numeric
@attribute P16 {Mucho,Poco}
@attribute P18 {Si,No}
@attribute P19 {Conceptual,Procedimental}
@attribute P17 {Sí,'Más o menos'}

@data
3,Satisfactorio,Insipiente,Poco,Suficiente,Regular,Regular,Insipiente,Poco,8,7,9,8,9,9,9,Poco,Si,Conceptual,'Más o menos'
3,Satisfactorio,Satisfactorio,Mucho,Regular,Suficiente,Suficiente,Insipiente,Mucho,9,7,8,10,10,9,9,Mucho,Si,Procedimental,'Más o menos'
3,Satisfactorio,Insipiente,Poco,Suficiente,Suficiente,Suficiente,Satisfactorio,Poco,10,8,8,8,8,8,10,Mucho,Si,Procedimental,'Más o menos'
3,Insipiente,Insipiente,Mucho,Suficiente,Suficiente,Suficiente,Satisfactorio,Mucho,9,8,9,10,10,10,10,Poco,Si,Conceptual,'Más o menos'
3,Satisfactorio,Satisfactorio,Mucho,Regular,Regular,Suficiente,Insipiente,Mucho,10,10,10,10,10,10,10,Poco,Si,Procedimental,Sí
3,Insipiente,Insipiente,Mucho,Regular,Regular,Regular,Insipiente,Mucho,10,7,9,10,10,10,9,Mucho,Si,Procedimental,'Más o menos'
3,Satisfactorio,Satisfactorio,Mucho,Suficiente,Suficiente,Suficiente,Satisfactorio,Poco,10,10,8,9,8,10,9,Mucho,Si,Conceptual,Sí
3,Satisfactorio,Insipiente,Mucho,Suficiente,Regular,Regular,Insipiente,Mucho,6,3,6,6,6,5,5,Mucho,Si,Procedimental,'Más o menos'
3,Satisfactorio,Satisfactorio,Mucho,Suficiente,Suficiente,Suficiente,Satisfactorio,Mucho,8,7,10,9,9,9,9,Mucho,Si,Procedimental,Sí
3,Satisfactorio,Insipiente,Mucho,Regular,Suficiente,Suficiente,Insipiente,Mucho,8,9,8,9,9,9,9,Mucho,Si,Procedimental,'Más o menos'
3,Insipiente,Insipiente,Mucho,Regular,Suficiente,Suficiente,Insipiente,Mucho,9,7,10,10,10,10,10,Poco,Si,Conceptual,'Más o menos'
3,Satisfactorio,Satisfactorio,Mucho,Regular,Regular,Suficiente,Satisfactorio,Mucho,10,10,10,10,10,10,8,Mucho,Si,Procedimental,Sí
3,Satisfactorio,Satisfactorio,Mucho,Regular,Regular,Regular,Insipiente,Mucho,9,9,9,10,9,9,9,Mucho,Si,Conceptual,Sí
3,Satisfactorio,Satisfactorio,Mucho,Suficiente,Suficiente,Suficiente,Satisfactorio,Mucho,8,8,9,9,10,10,9,Mucho,Si,Procedimental,Sí
3,Satisfactorio,Satisfactorio,Mucho,Suficiente,Suficiente,Suficiente,Satisfactorio,Mucho,10,9,10,10,10,10,10,Mucho,Si,Conceptual,Sí
3,Satisfactorio,Satisfactorio,Mucho,Regular,Regular,Regular,Satisfactorio,Mucho,9,7,9,7,7,7,7,Mucho,Si,Conceptual,'Más o menos'
3,Satisfactorio,Insipiente,Poco,Regular,Regular,Suficiente,Satisfactorio,Mucho,10,9,10,10,10,10,10,Mucho,Si,Conceptual,Sí
3,Satisfactorio,Satisfactorio,Mucho,Suficiente,Regular,Regular,Insipiente,Mucho,8,7,7,9,9,9,10,Mucho,Si,Procedimental,Sí
3,Insipiente,Insipiente,Mucho,Regular,Regular,Regular,Insipiente,Mucho,10,10,10,10,10,10,10,Poco,Si,Conceptual,'Más o menos'
3,Satisfactorio,Satisfactorio,Mucho,Suficiente,Regular,Regular,Insipiente,Poco,8,8,8,10,10,10,10,Mucho,Si,Procedimental,'Más o menos'
3,Satisfactorio,Satisfactorio,Mucho,Suficiente,Suficiente,Suficiente,Insipiente,Mucho,10,10,10,10,10,10,10,Mucho,Si,Procedimental,Sí
3,Satisfactorio,Satisfactorio,Mucho,Suficiente,Suficiente,Suficiente,Satisfactorio,Mucho,8,7,9,8,9,8,8,Mucho,Si,Conceptual,Sí
3,Insipiente,Insipiente,Mucho,Regular,Regular,Regular,Insipiente,Mucho,7,9,10,10,10,10,9,Poco,Si,Procedimental,'Más o menos'
3,Satisfactorio,Insipiente,Poco,Suficiente,Suficiente,Suficiente,Insipiente,Poco,8,7,9,9,9,9,9,Mucho,No,Procedimental,Sí
3,Satisfactorio,Satisfactorio,Mucho,Suficiente,Suficiente,Suficiente,Satisfactorio,Mucho,7,9,9,9,8,8,8,Mucho,Si,Procedimental,'Más o menos'
3,Satisfactorio,Satisfactorio,Mucho,Suficiente,Suficiente,Suficiente,Satisfactorio,Mucho,10,10,10,10,10,10,10,Mucho,Si,Procedimental,Sí
3,Satisfactorio,Satisfactorio,Mucho,Regular,Regular,Regular,Satisfactorio,Mucho,9,7,8,8,8,8,8,Mucho,Si,Conceptual,Sí
3,Satisfactorio,Satisfactorio,Mucho,Suficiente,Suficiente,Suficiente,Satisfactorio,Mucho,9,9,9,9,9,9,8,Mucho,Si,Conceptual,Sí
3,Satisfactorio,Satisfactorio,Mucho,Suficiente,Regular,Suficiente,Insipiente,Mucho,8,7,8,8,8,8,8,Mucho,Si,Procedimental,'Más o menos'
3,Insipiente,Insipiente,Mucho,Regular,Regular,Regular,Insipiente,Mucho,9,8,9,10,9,10,9,Poco,No,Conceptual,'Más o menos'
3,Satisfactorio,Satisfactorio,Mucho,Regular,Suficiente,Suficiente,Satisfactorio,Mucho,10,9,10,10,10,10,10,Mucho,Si,Conceptual,Sí
3,Satisfactorio,Satisfactorio,Mucho,Suficiente,Suficiente,Regular,Insipiente,Mucho,9,8,9,10,9,10,9,Mucho,No,Conceptual,Sí
3,Insipiente,Insipiente,Mucho,Regular,Regular,Regular,Satisfactorio,Mucho,8,8,9,9,9,10,10,Mucho,Si,Conceptual,Sí
3,Satisfactorio,Satisfactorio,Poco,Regular,Regular,Regular,Insipiente,Poco,9,7,8,9,8,8,9,Mucho,Si,Conceptual,Sí
3,Satisfactorio,Satisfactorio,Mucho,Suficiente,Suficiente,Suficiente,Satisfactorio,Mucho,9,9,10,10,10,10,10,Mucho,Si,Procedimental,Sí
3,Satisfactorio,Satisfactorio,Mucho,Suficiente,Suficiente,Suficiente,Insipiente,Mucho,8,5,10,9,8,8,6,Mucho,Si,Procedimental,Sí
3,Satisfactorio,Satisfactorio,Mucho,Suficiente,Suficiente,Suficiente,Satisfactorio,Mucho,10,9,9,9,10,10,9,Mucho,Si,Conceptual,Sí
3,Satisfactorio,Satisfactorio,Mucho,Suficiente,Suficiente,Suficiente,Satisfactorio,Mucho,9,9,9,9,9,9,9,Mucho,Si,Conceptual,Sí
3,Satisfactorio,Satisfactorio,Mucho,Suficiente,Suficiente,Suficiente,Insipiente,Poco,8,8,8,8,8,8,8,Mucho,Si,Conceptual,Sí
3,Satisfactorio,Satisfactorio,Mucho,Suficiente,Suficiente,Suficiente,Insipiente,Mucho,9,8,10,10,9,10,10,Mucho,Si,Conceptual,Sí
3,Satisfactorio,Satisfactorio,Mucho,Suficiente,Suficiente,Suficiente,Insipiente,Mucho,9,9,10,10,10,10,10,Mucho,Si,Procedimental,'Más o menos'
3,Satisfactorio,Satisfactorio,Mucho,Suficiente,Suficiente,Suficiente,Satisfactorio,Mucho,9,8,9,9,9,9,8,Mucho,Si,Conceptual,Sí
3,Satisfactorio,Satisfactorio,Mucho,Suficiente,Regular,Regular,Satisfactorio,Poco,8,7,8,9,9,9,8,Mucho,No,Procedimental,Sí
3,Insipiente,Insipiente,Mucho,Regular,Regular,Regular,Insipiente,Mucho,9,9,10,9,9,9,9,Poco,Si,Procedimental,Sí
3,Insipiente,Insipiente,Mucho,Regular,Suficiente,Regular,Insipiente,Mucho,8,6,8,8,8,8,8,Mucho,Si,Procedimental,Sí
3,Insipiente,Insipiente,Mucho,Regular,Regular,Regular,Insipiente,Mucho,9,8,9,9,9,9,9,Mucho,Si,Conceptual,'Más o menos'
3,Satisfactorio,Satisfactorio,Mucho,Suficiente,Suficiente,Suficiente,Satisfactorio,Mucho,9,8,9,9,10,10,9,Mucho,Si,Conceptual,Sí
3,Insipiente,Satisfactorio,Mucho,Regular,Regular,Suficiente,Insipiente,Mucho,8,8,9,9,9,9,8,Mucho,Si,Procedimental,'Más o menos'
3,Satisfactorio,Satisfactorio,Mucho,Regular,Regular,Regular,Satisfactorio,Mucho,9,7,8,9,9,9,9,Mucho,Si,Procedimental,Sí
3,Satisfactorio,Satisfactorio,Mucho,Suficiente,Suficiente,Suficiente,Satisfactorio,Mucho,9,9,9,9,9,9,9,Mucho,No,Conceptual,Sí
3,Insipiente,Satisfactorio,Mucho,Suficiente,Suficiente,Suficiente,Insipiente,Mucho,8,7,9,8,8,8,8,Mucho,Si,Conceptual,'Más o menos'
3,Satisfactorio,Satisfactorio,Mucho,Insipiente,Insipiente,Insipiente,Satisfactorio,Poco,5,7,7,10,9,9,9,Mucho,No,Conceptual,Sí
3,Satisfactorio,Satisfactorio,Mucho,Suficiente,Suficiente,Suficiente,Satisfactorio,Mucho,10,9,10,10,10,10,10,Mucho,Si,Procedimental,Sí
3,Satisfactorio,Satisfactorio,Mucho,Regular,Regular,Regular,Insipiente,Mucho,9,9,9,8,8,8,8,Mucho,Si,Procedimental,Sí
